Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11370999999999999,10.5686,11.1255,1,12.9789,1.8534,0.00084232,14.0384,
2,2,1,1,0.13,0,1,9.625,0,15.7905,25.4258,25.926,1,27.761,1.835,0.00072503,28.9107,
3,2,1,3,0.91,1,0,11.375,1,30.6702,42.034,42.5788,1,44.8722,2.2933,0.0007044999999999999,45.5352,46.7715
4,3,1,1,0.15,1,1,9.625,1,47.2861,56.9241,57.441,1,59.152,1.7109999999999999,0.00070744,60.413000000000004,61.6477
5,1,1,2,0.61,0,1,10.5,0,62.1626,72.6935,73.1819,1,74.95100000000001,1.7692,0.00070524,76.1664,
6,3,1,1,0.31,1,0,11.375,0,77.9174,89.3062,89.8065,1,91.3987,1.5922,0.00070304,92.7911,94.02799999999999
7,3,1,3,0.79,1,0,10.5,0,94.5419,105.0641,105.552,1,106.7901,1.2382,0.0007088999999999999,108.5486,109.7806
8,1,1,1,0.1,0,0,10.5,0,110.3009,120.8212,121.3215,1,122.4457,1.1242,0.00070817,124.2975,
9,3,1,2,0.58,1,1,9.625,0,126.0471,135.6949,136.1952,1,137.9249,1.7297,0.00073456,139.1798,140.4108
10,3,1,2,0.36,1,0,11.375,1,140.9308,152.3074,152.82399999999998,1,154.5962,1.7722,0.00070963,155.8065,157.039
11,1,1,3,0.82,0,0,10.5,1,157.5562,168.0604,168.5868,1,170.4434,1.8566,0.00070744,171.5527,
12,3,1,1,0.22,1,0,10.5,1,173.3128,183.8346,184.3348,1,185.9707,1.6358,0.00070157,187.3027,188.5444
13,3,1,3,0.87,0,0,10.5,1,189.0651,199.5793,200.0792,1,201.3694,1.2902,0.0024419,203.0617,
14,1,1,2,0.45,0,0,10.5,0,204.8113,215.3329,215.842,1,217.37,1.5279,0.00069571,218.8179,
15,2,1,3,0.7,0,1,9.625,0,220.5687,230.2067,230.7069,1,233.6735,2.9666,0.00071623,233.6915,
16,1,1,1,0.27,0,1,10.5,1,235.4424,245.968,246.4679,1,248.0965,1.6287,0.00069937,249.4338,
17,2,1,2,0.4,0,0,11.375,0,251.2,262.5973,263.0972,1,264.4321,1.3349,0.00070524,266.0737,
18,1,1,1,0.18,0,0,10.5,1,267.8245,278.3463,278.8465,1,280.2795,1.4329,0.00070524,281.8258,
19,1,1,3,0.74,0,0,10.5,0,283.582,294.0897,294.5896,1,296.0467,1.4571,0.00071477,297.5721,
20,3,1,2,0.52,1,0,10.5,1,299.3229,309.8525,310.3524,1,311.6466,1.2941,0.00070817,313.3295,314.5636
21,1,1,1,0.34,0,1,9.625,0,315.0845,324.7322,325.2321,1,326.4219,1.1898,0.0007044999999999999,328.2032,
22,3,1,3,0.7,1,0,11.375,1,329.9643,341.3616,341.8599,1,343.1651,1.3053,0.00070597,344.8279,346.07
23,2,1,2,0.65,0,1,9.625,0,346.5936,356.2334,356.7244,1,358.0208,1.2964,0.0007023,359.7069,
24,2,1,2,0.49,1,0,11.375,1,361.4692,372.8579,373.3582,1,374.9718,1.6136,0.0007023,376.3428,377.5749
25,2,1,2,0.57,0,1,9.625,0,378.0937,387.7336,388.2335,1,389.50699999999995,1.2735,0.00070377,391.2165,
26,2,1,1,0.22,1,1,10.5,1,392.9675,403.4724,403.9797,1,405.30699999999996,1.3273,0.00070817,406.9741,408.2066
27,1,1,2,0.4,1,0,11.375,1,408.7285,420.1138,420.6141,1,421.9701,1.3559999999999999,0.00070744,423.5986,424.8347
28,2,1,1,0.27,1,0,10.5,1,425.3578,435.8719,436.3718,1,437.8171,1.4453,0.0007067,439.3562,440.5883
29,1,1,3,0.88,0,0,10.5,1,441.1072,451.6181,452.1347,1,453.961,1.8263,0.00071257,455.1004,
30,3,1,1,0.09,1,1,9.625,0,456.8646,466.5024,466.9976,1,469.4325,2.4349,0.00070963,469.9802,471.2182
31,3,1,2,0.44,1,1,10.5,1,471.7383,482.2607,482.7606,1,484.1195,1.3589,0.00070597,485.7431,486.9714
32,3,1,3,0.95,1,0,11.375,0,487.4958,498.8732,499.3849,1,501.1827,1.7978,0.0007111000000000001,502.3696,503.6005
33,2,1,3,0.75,1,0,10.5,1,504.1221,514.6422,515.1424,1,516.6306,1.4882,0.00070084,518.1184,519.3538
34,2,1,1,0.06,1,0,10.5,0,519.868,530.3662,530.8989,1,532.5579,1.659,0.00070817,533.8678,535.1083
35,2,1,3,0.83,0,1,9.625,0,535.631,545.2788,545.7786,1,547.1569,1.3783,0.0007044999999999999,548.7444,
36,1,1,3,0.66,0,1,10.5,1,550.5092,561.0309,561.5312,1,563.3806,1.8494,0.00070157,564.5073,
37,3,2,3,0.84,1,1,10.5,1,566.2569,576.7718,577.2719999999999,1,578.5884,1.3163,0.00070597,580.2567,581.4933
38,1,2,3,0.93,0,1,10.5,0,582.0075,592.5339,593.0338,1,595.2197,2.1859,0.0007044999999999999,596.0163,
39,3,2,1,0.2,1,0,11.375,1,597.7659,609.1632,609.6631,1,610.9788,1.3157,0.00070817,612.6388,613.8735
40,3,2,2,0.41,1,1,9.625,1,614.3952,624.0443,624.5428,1,625.8101,1.2673,0.0021274,627.5126,628.7516
41,1,2,2,0.59,0,1,10.5,1,629.275,639.7891,640.289,1,641.5776,1.2886,0.00071257,643.2714,
42,1,2,3,0.85,0,1,10.5,1,645.0213,655.5426,656.0429,1,657.0888,1.0459,0.00070304,659.0275,
43,3,2,3,0.92,1,0,11.375,1,660.7784,672.1672,672.6675,1,673.8646,1.1971,0.0007001,675.6522,676.8854
44,2,2,3,0.8,0,1,9.625,0,677.403,687.0443,687.5442,1,689.6631,2.1189,0.0017102999999999999,690.5267,
